#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
60500	120.9999999998994	-1639322.7793708816	321680.34841866064	-1317642.430952221	299.9980853353776	1271.464014280409	1.0079551011755155	9.55
61000	121.99999999989707	-1638083.6464340119	320770.10764694837	-1317313.5387870634	299.14919764282735	1274.8215544270308	1.00530041612847	9.73
61500	122.99999999989474	-1638934.6808964992	321445.23704894935	-1317489.4438475498	299.7788212084245	1272.905751533756	1.0068134562286568	9.89
62000	123.99999999989241	-1638689.3966767974	322669.8404477373	-1316019.55622906	300.92088250230705	1274.6368211891927	1.0054461144150595	10.1
62500	124.99999999989008	-1638357.4799487973	321358.14070096787	-1316999.3392478293	299.69759542710904	1270.8029777881497	1.0084794114864621	10
63000	125.99999999988775	-1638523.3857674496	323322.2441726379	-1315201.1415948118	301.5293121726241	1271.876360463602	1.0076283190670343	10.1
63500	126.99999999988542	-1636564.0762784714	322797.25344133476	-1313766.8228371367	301.0397074610401	1274.3128866834777	1.0057017021074541	10.2
64000	127.99999999988309	-1636755.0182007551	322011.7148494491	-1314743.303351306	300.3071166307913	1272.9080206451756	1.0068116614627556	10.3
64500	128.99999999988785	-1638946.0881794542	323001.5155768767	-1315944.5726025775	301.2302016888359	1269.5558765693431	1.0094700539043482	10.4
65000	129.99999999989262	-1640052.222904211	323515.12148841633	-1316537.1014157946	301.70918895316913	1270.0747014629085	1.0090576858816869	10.4
65500	130.9999999998974	-1639574.1824087445	321863.3284131193	-1317710.8539956252	300.16873190506124	1270.5715195361431	1.0086631247825484	10.5
66000	131.99999999990217	-1640068.584104456	321229.7952811038	-1318838.7888233522	299.57790089056033	1271.005343608577	1.0083188442909614	10.5
66500	132.99999999990695	-1640707.7049336769	322048.48453075776	-1318659.2204029192	300.341407920406	1270.2982278653697	1.0088801283369677	10.5
67000	133.99999999991172	-1638961.7410458848	321664.4552901208	-1317297.285755764	299.98326345348335	1270.4494922283502	1.008760007379094	10.5
67500	134.9999999999165	-1638586.1009913357	321947.50266712473	-1316638.5983242108	300.2472325506875	1270.7246040232021	1.0085416109025276	10.4
68000	135.99999999992127	-1639552.6100302478	321326.4047743102	-1318226.2052559378	299.66799860131454	1271.1995380104706	1.0081648087764494	10.4
68500	136.99999999992605	-1638420.8470823653	322030.2593030138	-1316390.5877793515	300.3244111300989	1269.8164394170917	1.0092629134202615	10.4
69000	137.99999999993082	-1638675.202273069	321191.79396369384	-1317483.4083093752	299.5424609809754	1270.2925514619244	1.0088846365981787	10.3
69500	138.9999999999356	-1636090.253529163	320589.1003379121	-1315501.153191251	298.9803907933896	1273.473884034774	1.006364288441145	10.3
70000	139.99999999994037	-1638820.8413978042	322909.90197871166	-1315910.9394190926	301.14476313414855	1270.0109568198634	1.0091083327061516	10.3
70500	140.99999999994515	-1638038.968749132	321602.2728388055	-1316436.6959103264	299.92527229416095	1269.6355045327489	1.0094067427853501	10.3
71000	141.99999999994992	-1637474.1036034822	323140.2874804468	-1314333.8161230355	301.3596199314299	1271.7975480396074	1.0076907611046322	10.3
71500	142.9999999999547	-1638760.2107096985	322751.7300542747	-1316008.4806554238	300.99725249286087	1270.8941585577002	1.008407057759603	10.3
72000	143.99999999995947	-1639831.7473904956	322246.8051024848	-1317584.9422880108	300.5263610643988	1271.1058687899874	1.0082391015746146	10.3
72500	144.99999999996425	-1637943.1946484558	321888.43794227066	-1316054.7567061852	300.1921489732971	1271.0045946148628	1.0083194384858838	10.1
73000	145.99999999996902	-1639589.2523206733	322100.9253549008	-1317488.3269657725	300.39031406874136	1270.1170429376261	1.009024047257016	9.84
73500	146.9999999999738	-1638393.6520588184	322526.8172642897	-1315866.8347945288	300.7874995294155	1273.8342253844	1.0060796088033352	9.57
74000	147.99999999997857	-1639581.4105782406	320109.7914695863	-1319471.6191086543	298.53338884412887	1274.633307076121	1.0054488863898026	9.38
74500	148.99999999998334	-1639188.473355161	320869.7725749867	-1318318.7007801742	299.24214484253525	1274.2774633130516	1.0057296593969438	9.31
75000	149.99999999998812	-1639265.386745533	321234.8538725098	-1318030.5328730233	299.5826185170606	1274.128277796065	1.0058474185753565	9.28
75500	150.9999999999929	-1639476.6342491359	322667.61240898544	-1316809.0218401505	300.9188046403459	1270.642496505933	1.0086067817495294	9.32
76000	151.99999999999767	-1641538.5162044242	324044.8943816027	-1317493.6218228214	302.20325349394625	1270.3696053681867	1.0088234429881542	9.35
76500	153.00000000000244	-1640636.5300002918	322053.6217807812	-1318582.9082195107	300.34619890368646	1265.2233521728838	1.012926798224254	9.38
77000	154.00000000000722	-1641144.748266152	322737.5976227275	-1318407.1506434246	300.984072631467	1267.6920607317327	1.0109542205504454	9.35
77500	155.000000000012	-1639844.7132162368	321678.4409143182	-1318166.2723019186	299.99630640280265	1271.9940861401951	1.0075350609875284	9.38
78000	156.00000000001677	-1637594.9077900313	321875.2389015048	-1315719.6688885265	300.17983958922224	1272.6788443356552	1.0069929620178666	9.41
78500	157.00000000002154	-1639805.7740393933	321749.5751141631	-1318056.1989252302	300.0626459347643	1269.9532388655712	1.0091541955512084	9.44
79000	158.00000000002632	-1638398.9857647745	320979.005722741	-1317419.9800420334	299.34401533397977	1272.3612345455842	1.0072443299584999	9.42
79500	159.0000000000311	-1639918.5321397306	323448.0888496826	-1316470.443290048	301.6466745242525	1272.5273782437146	1.0071128221412529	9.35
80000	160.00000000003587	-1638527.2690204475	321436.87518855854	-1317090.393831889	299.7710229636159	1273.5022468491188	1.0063418751917403	9.15
80500	161.00000000004064	-1638954.280614851	321771.54584859253	-1317182.7347662584	300.0831357728742	1274.5523768058881	1.0055127293919117	9.02
81000	162.00000000004542	-1638569.3536441308	321703.39149715437	-1316865.9621469765	300.01957523820295	1273.9721841558917	1.0059706601868903	8.85
81500	163.0000000000502	-1637563.387294164	321675.25456689356	-1315888.1327272705	299.9933348251751	1272.6479029869079	1.007017444610696	8.77
82000	164.00000000005497	-1637319.859405322	321936.40507727815	-1315383.4543280439	300.2368829731576	1272.458181941916	1.0071675889569918	8.81
82500	165.00000000005974	-1638299.425251022	322974.74941083195	-1315324.6758401901	301.20523964622225	1272.3020688902934	1.007291169677052	8.8
83000	166.00000000006452	-1636397.5853035627	321718.18409633497	-1314679.4012072277	300.0333707698639	1273.2285024718137	1.006558238891929	8.83
83500	167.0000000000693	-1637224.4613368232	322953.11154764635	-1314271.3497891768	301.1850602427917	1273.4364395219209	1.0063938798831393	8.87
